idade;masc;fem
0;0,00611882;0,00500711
1;0,0003956;0,00038769
2;0,00029378;0,00023242
3;0,00022497;0,00016904
4;0,00018068;0,00014698
5;0,00016979;0,00013349
6;0,00015947;0,00012321
7;0,00014711;0,0001143
8;0,00012626;0,00010331
9;0,00009941;0,0000907
10;0,00007824;0,00008091
11;0,00008175;0,00008172
12;0,00013137;0,00010195
13;0,00023839;0,000146
14;0,00038648;0,00020611
15;0,00054387;0,00027352
16;0,00069191;0,00033499
17;0,00083758;0,00038303
18;0,00097508;0,00041149
19;0,00110163;0,00042541
20;0,00123343;0,00043715
21;0,00135399;0,00045207
22;0,00142671;0,0004641
23;0,00143689;0,00047371
24;0,00140128;0,00048198
25;0,00134938;0,00049088
26;0,0013064;0,00050123
27;0,00127414;0,00051299
28;0,00126308;0,0005271
29;0,0012707;0,0005453
30;0,00128737;0,00056982
31;0,00130751;0,00060209
32;0,00134212;0,00064331
33;0,00137421;0,00068807
34;0,00142211;0,00074046
35;0,00147921;0,00079722
36;0,00155442;0,00086254
37;0,00165849;0,0009419
38;0,00179735;0,00103836
39;0,0019655;0,00114927
40;0,0021476;0,00126552
41;0,00233855;0,00138593
42;0,00254731;0,00151777
43;0,00277333;0,00166172
44;0,00301373;0,00181477
45;0,00326197;0,00197651
46;0,00351963;0,00214168
47;0,00379824;0,00230721
48;0,00410819;0,00247506
49;0,00445175;0,00265282
50;0,00482798;0,00284622
51;0,0052243;0,00306203
52;0,00562418;0,00330286
53;0,00600508;0,00356558
54;0,00636743;0,00384444
55;0,00672737;0,00413248
56;0,00711084;0,0044383
57;0,0075385;0,00478402
58;0,00805075;0,00519703
59;0,0866756;0,00569174
60;0,00940452;0,00629234
61;0,01022306;0,00696291
62;0,01106866;0,00763809
63;0,01185891;0,00824665
64;0,01259161;0,00880131
65;0,0133644;0,00939592
66;0,01434152;0,01024674
67;0,01531864;0,01109755
68;0,01629576;0,01194837
69;0,01727288;0,01279918
70;0,01825;0,01365
71;0,019754;0,015124
72;0,021258;0,016598
73;0,022762;0,018072
74;0,024266;0,019546
75;0,02577;0,02102
76;0,02713;0,02285
77;0,02849;0,02468
78;0,02985;0,02651
79;0,03121;0,02834
80;0,03257;0,03017
81;0,032868;0,031608
82;0,033166;0,033046
83;0,033464;0,034484
84;0,033762;0,035922
85;0,03406;0,03736
